,平日,土・日・祝日
4,,24  54
5,,24
6,,30  54
7,,27
8,50,50
9,25,25
10,0  35,0  35
11,10  45,10  45
12,20  55,20  55
13,30,30
14,5  40,5  40
15,15  50,15  50
16,25,25
17,0,0
