6,12
7,12  32  54  58
8,17  32  34  57
9,34  42  59
10,24  59
11,29  54
12,29  39  44
13,14  29  39
14,4  9  29  39  54  59
15,19  34  59
16,13  19  24  54
17,9  19  54  56
18,21  24
19,1  4  19  24  42  54
20,29
