5,32
6,12  27  52
7,37  52  57
8,17  27  32  37
9,2  22  32  42  52
10,2  32
11,2  7  32
12,7  32  37  47
13,2  7  32  57
14,2  7  32
15,17  27  32  37
16,32
17,2  32
18,7  22  27  57
20,27
21,7
